TEC ID,TEC Expiry,Contract Description,Unit ID,Action Notice No.,Loadout Date,Loadout Location,Backload Date,Backload Sheet No.,Description,Size,SWL,Remarks,Status,Cert Validity,Days Offshore,Category,Type,TEC Group,Cert 1 Type,Cert 1 ID,Cert 1 Inspection Date,Cert 1 Expiry Date,Cert 2 Type,Cert 2 ID,Cert 2 Inspection Date,Cert 2 Expiry Date,Cert 3 Type,Cert 3 ID,Cert 3 Inspection Date,Cert 3 Expiry Date
EOG-00116,,C01.001 - Consumables Item,N/A,,31-May-23,GuB,,,AIR HOSE 1/2'' 30MTR PER LENGTH,"1/2"" X 30 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00117,,C01.001 - Consumables Item,N/A,,31-May-23,GuC,,,AIR HOSE 1/2'' 30MTR PER LENGTH,"1/2"" X 30 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00118,,C01.001 - Consumables Item,N/A,,31-May-23,GuA,,,AIR HOSE 3/4'' 25MTR PER LENGTH,"3/4"" X 25 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00119,,C01.001 - Consumables Item,N/A,,31-May-23,GuB,,,AIR HOSE 3/4'' 30MTR PER LENGTH,"3/4"" X 30 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00128,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,ALLEN KEY,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00129,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuC,,,ALLEN KEY SET,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00130,,C01.001 - Consumables Item,N/A,,31-May-23,GuB,,,ARGON REGULATOR,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00131,,C01.001 - Consumables Item,N/A,,31-May-23,GuA,,,ARGON TOURCH,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00132,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,BAND-IT TOOLS,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00134,,B16.002 - Battery Operated Floodlight,EOG-2021-11-PS-141,,31-May-23,PaA,,,BATTERY OPERATED FLOODLIGHT,N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00135,,C01.001 - Consumables Item,N/A,,31-May-23,GuA,,,BATTERY WELDING MACHINE 12V,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00136,,C01.001 - Consumables Item,N/A,,31-May-23,GuA,,,BLAZING POWER TORCH,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00162,45587,N01.011 - Non-Chargeable Cargo Basket,FSSM 1328,,14-Nov-23,GuA,,,CARGO CONTAINER,6.2FT X 5.3FT X 9.3FT,TBC,,,Valid,259,Non-Chargeable,Expiring,Cargo Handling and Lifting,,,,,,,,,,,,
EOG-00183,45597,N01.017 - Oxygen Gas C/W Cylinder,4253,TUA 004/10/23,01-Dec-23,TuA,,,OXYGEN GAS CYLINDER,,,,,Valid,242,Non-Chargeable,Expiring,Pressure Equipment,,,,,,,,,,,,
EOG-00195,45666,B05.011 - Chain Blocks – 1 ½ MT,EOG CHB 19044904,GUDP 006/12/23,22-Jan-24,GuDP,,,CHAIN BLOCK - 1.5 TON,N/A,1.5 TON,,,Valid,190,Chargeable,Expiring,Rigging Equipment,,,,,,,,,,,,
EOG-00196,45666,B05.011 - Chain Blocks – 1 ½ MT,EOG CHB 98970,GUDP 006/12/23,22-Jan-24,GuDP,,,CHAIN BLOCK - 1.5 TON,N/A,1.5 TON,,,Valid,190,Chargeable,Expiring,Rigging Equipment,,,,,,,,,,,,
EOG-00205,,N01.025 - Walkie Talkie,EPIC-18,,31-May-23,GuA,,,WALKIE TALKIE C/W CHARGER & HANDFREE,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,Miscellaneous,,,,,,,,,,,,
EOG-00208,45327,B05.030 - Pneumatic Impact Wrench,EOG-2023-11-IW-257,,09-Aug-23,GuA,,,"PNEUMATIC IMPACT WRENCH - 3/4"" DRIVE","3/4"" DRIVE",N/A,,,Non-Expiring,356,Chargeable,Non-Expiring,Rigging Equipment,,,,,,,,,,,,
EOG-00209,45328,B05.030 - Pneumatic Impact Wrench,EOG-2023-11-IW-258,,09-Aug-23,GuA,,,"PNEUMATIC IMPACT WRENCH - 3/4"" DRIVE","3/4"" DRIVE",N/A,,,Non-Expiring,356,Chargeable,Non-Expiring,Rigging Equipment,,,,,,,,,,,,
EOG-00233,45748,B05.013 - Chain Blocks – 5 MT,EOG CHB 1808550010,GUB 01/03/24,07-May-24,GuB,,,CHAIN BLOCK - 5 TON,N/A,5 TON,,,Valid,84,Chargeable,Expiring,Rigging Equipment,,,,,,,,,,,,
EOG-00242,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,CHIPPING HAMMER,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00243,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,CHIPPING HAMMER,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00254,45473,B01.025 - Cold Cutting Pipe Saw,EOG-ASD-19/19,GUDP 006/12/23,12-Feb-24,GuDP,,,COLD CUTTING PIPE SAW (ASADA),N/A,N/A,,,Non-Expiring,169,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00255,45291,B01.025 - Cold Cutting Pipe Saw,EOG-ASD-14/19,,31-May-23,GuA,,,COLD CUTTING PIPE SAW (ASADA),N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00256,45291,B01.025 - Cold Cutting Pipe Saw,EOG-ASD-01/19,,09-Aug-23,PaA,,,COLD CUTTING PIPE SAW (ASADA),N/A,N/A,,,Non-Expiring,356,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00257,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,COMBINATION SPANNER,22 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00258,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,COMBINATION SPANNER,24 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00259,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,COMBINATION SPANNER,27 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00260,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,COMBINATION SPANNER,29 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00261,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,COMBINATION SPANNER,30 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00262,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,COMBINATION SPANNER,32 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00263,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,COMBINATION SPANNER,36 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00264,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,COMBINATION SPANNER,41 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00265,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,COMBINATION SPANNER,46 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00266,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,COMBINATION SPANNER,50 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00267,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,COMBINATION SPANNER,55 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00268,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,COMBINATION SPANNER,75 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00269,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,COMBINATION SPANNER,80 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00270,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuC,,,COMBINATION SPANNER,27 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00271,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuC,,,COMBINATION SPANNER,32 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00272,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuC,,,COMBINATION SPANNER,36 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00273,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuC,,,COMBINATION SPANNER,41 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00274,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuC,,,COMBINATION SPANNER,46 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00275,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuC,,,COMBINATION SPANNER,50 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00276,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,COMBINATION SPANNER 22MM, 22MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00277,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,COMBINATION SPANNER 24MM, 24MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00278,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,COMBINATION SPANNER 27MM, 27MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00279,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,COMBINATION SPANNER 29MM, 29 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00280,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,COMBINATION SPANNER 30MM, 30 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00281,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,COMBINATION SPANNER 32MM, 32 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00282,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,COMBINATION SPANNER 36MM, 36 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00283,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,COMBINATION SPANNER 41MM, 41 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00284,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,COMBINATION SPANNER 46MM, 46 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00285,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,COMBINATION SPANNER 50MM, 50 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00286,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,COMBINATION SPANNER 55MM, 55 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00287,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,COMBINATION SPANNER 65MM, 65 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00288,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,COMBINATION SPANNER 75MM, 75 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00289,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,COMBINATION SPANNER 80MM, 80 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00307,45327,B05.030 - Pneumatic Impact Wrench,EOG-2023-11-IW-260,,09-Aug-23,GuA,,,"PNEUMATIC IMPACT WRENCH - 3/4"" DRIVE","3/4"" DRIVE",N/A,,,Non-Expiring,356,Chargeable,Non-Expiring,Rigging Equipment,,,,,,,,,,,,
EOG-00310,45291,"B11.202 - Bolt Size – 1 ?""",SN : 27337,,31-May-23,GuF,,,"Bolt Size – 1-1/4"" ( LPR ) - 50MM",,,,,Non-Expiring,426,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00320,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,COPPER HAMMER,4 LBS,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00321,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,COPPER HAMMER,6 LBS,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00322,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuC,,,COPPER HAMMER,4 LBS,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00323,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuC,,,COPPER HAMMER,6 LBS,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00324,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,COPPER HAMMER,10 LBS,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00325,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,COPPER HAMMER,6 LBS,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00326,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,COPPER HAMMER,8 LBS,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00328,,C01.001 - Consumables Item,N/A,,31-May-23,GuB,,,CUTTING TORCH SET C/W REGULATOR,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00329,,C01.001 - Consumables Item,N/A,,31-May-23,GuA,,,CUTTING TORCH SET C/W REGULATOR,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00330,,C01.001 - Consumables Item,N/A,,31-May-23,GuA,,,CUTTING TORCH SET C/W REGULATOR,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00332,45437,B07.037 - Decade Resistance Box,EOG-RB-001/20,,31-May-23,GuA,,,DECADE RESISTANCE BOX,N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00333,44886,B03.009 - Digital Voltmeter,EOG-PM-06-/20,,31-May-23,GuA,,,DIGITAL VOLTMETER - FLUKE 789,N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00336,,N01.020 - Electrode Quiver,EOG-2021-11-QUI-84,,31-May-23,GuA,,,ELECTRODE QUIVER,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00337,,N01.020 - Electrode Quiver,EOG-2021-11-QUI-85,,31-May-23,GuA,,,ELECTRODE QUIVER,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00338,,N01.020 - Electrode Quiver,EOG-2021-11-QUI-95,,31-May-23,GuA,,,ELECTRODE QUIVER,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00339,,N01.020 - Electrode Quiver,EOG-2021-11-QUI-96,,31-May-23,GuA,,,ELECTRODE QUIVER,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00342,45291,B11.232 - Hydraulic Pump Pack (Hydraulic Torque),RWP55-4-BS (14XT 235,,31-May-23,GuB,,,HYDRAULIC PUMP PACK (HYDRAULIC TORQUE),N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00343,,N01.020 - Electrode Quiver,EOG-2021-11-QUI-86,,31-May-23,GuB,,,ELECTRODE QUIVER,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00344,,N01.020 - Electrode Quiver,EOG-2021-11-QUI-97,,31-May-23,GuB,,,ELECTRODE QUIVER,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00345,,N01.020 - Electrode Quiver,EOG-2021-11-QUI-80,,31-May-23,GuB,,,ELECTRODE QUIVER,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00346,,N01.020 - Electrode Quiver,EOG-2021-11-QUI-87,,31-May-23,GuB,,,ELECTRODE QUIVER,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00347,45505,B05.013 - Chain Blocks – 5 MT,EOG CHB 1808550773,TUA 001/02/24,18-Feb-24,TuA,,,CHAIN BLOCK 5T,,,,,< 4 weeks,163,Chargeable,Expiring,Rigging Equipment,,,,,,,,,,,,
EOG-00348,,B06.001 - Explosion Proof Floodlights Set,EOG-2022-11-PS-118,,31-May-23,GuA,,,EXPLOSION PROOF FLOODLIGHTS SET,N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00349,,B06.001 - Explosion Proof Floodlights Set,EOG-2022-11-PS-126,,31-May-23,GuA,,,EXPLOSION PROOF FLOODLIGHTS SET,N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00350,,B06.001 - Explosion Proof Floodlights Set,EOG-2022-11-PS-146,,31-May-23,GuA,,,EXPLOSION PROOF FLOODLIGHTS SET,N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00351,,B06.001 - Explosion Proof Floodlights Set,EOG-2022-11-PS-149,,31-May-23,GuA,,,EXPLOSION PROOF FLOODLIGHTS SET,N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00352,,B06.001 - Explosion Proof Floodlights Set,EOG-2022-11-PS-133,,31-May-23,GuA,,,EXPLOSION PROOF FLOODLIGHTS SET,N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00353,,B06.001 - Explosion Proof Floodlights Set,EOG-2022-11-PS-139,,31-May-23,GuA,,,EXPLOSION PROOF FLOODLIGHTS SET,N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00355,,B06.001 - Explosion Proof Floodlights Set,EOG-2022-11-PS-132,,31-May-23,GuB,,,EXPLOSION PROOF FLOODLIGHTS SET,N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00356,,B06.001 - Explosion Proof Floodlights Set,EOG-PS-89/19,,31-May-23,GuF,,,EXPLOSION PROOF FLOODLIGHTS SET,N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00357,,B06.001 - Explosion Proof Floodlights Set,EOG-PS-59/19,,31-May-23,GuF,,,EXPLOSION PROOF FLOODLIGHTS SET,N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00359,,B06.001 - Explosion Proof Floodlights Set,EOG-PS-91/19,,31-May-23,GuF,,,EXPLOSION PROOF FLOODLIGHTS SET,N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00360,,B06.001 - Explosion Proof Floodlights Set,EOG-PS-33/19,,31-May-23,GuF,,,EXPLOSION PROOF FLOODLIGHTS SET,N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00361,,B06.001 - Explosion Proof Floodlights Set,EOG-PS-73/19,,31-May-23,GuF,,,EXPLOSION PROOF FLOODLIGHTS SET,N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00362,,B06.001 - Explosion Proof Floodlights Set,EOG-2022-11-PS-134,,31-May-23,GuB,,,EXPLOSION PROOF FLOODLIGHTS SET,N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00364,,C01.001 - Consumables Item,N/A,,31-May-23,GuB,,,FINGER SAVER,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00365,,C01.001 - Consumables Item,N/A,,31-May-23,GuB,,,FULL FACE RESPIRATOR,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00367,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuA,,,HACK SAW FRAME,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00368,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,HACK SAW FRAME,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00369,,C01.001 - Consumables Item,N/A,,31-May-23,GuB,,,HALF FACE RESPIRATOR,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00370,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,HAMMERING SPANNER,22 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00371,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,HAMMERING SPANNER,27 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00372,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,HAMMERING SPANNER,32 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00373,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,HAMMERING SPANNER,36 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00374,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31-May-23,GuB,,,HAMMERING SPANNER,41 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
